Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:56:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:57:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:58:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:59:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 13:00:00,77.31,79.05,0.52,1.0,1.0
2024-08-06 13:00:05,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:10,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:15,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:20,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:25,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:30,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:35,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:40,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:45,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:50,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:00:55,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:00,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:05,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:10,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:15,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:20,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:25,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:30,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:35,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:40,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:45,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:50,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:01:55,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:00,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:05,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:10,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:15,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:20,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:25,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:30,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:35,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:40,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:45,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:50,67.6,80.47,0.56,1.0,1.0
2024-08-06 13:02:55,67.6,80.47,0.56,1.0,1.0
