Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-24 12:00:38,9.614,8.284,9.413,53.415,52.316
 2024-09-24 12:59:47,9.335,8.297,9.417,50.417,52.98
 2024-09-24 12:59:55,9.39,8.294,9.417,51.973,53.041
 2024-09-24 13:03:46,8.969,8.295,9.413,51.958,51.202
 2024-09-24 13:04:56,9.792,8.286,7.746,51.881,54.865
 2024-09-24 13:59:43,9.408,8.294,9.669,52.171,54.208
 2024-09-24 14:00:06,9.518,8.295,9.358,52.148,54.216
 2024-09-24 14:01:08,9.335,8.294,9.39,52.11,54.17
 2024-09-24 14:56:48,9.573,8.292,9.417,55.673,54.369
 2024-09-24 14:59:46,9.403,8.294,7.101,51.698,54.33
 2024-09-24 15:00:01,9.445,8.294,8.845,53.224,54.361
 2024-09-24 15:01:03,8.987,8.292,8.804,53.308,54.292
 2024-09-24 15:56:52,11.051,8.294,8.863,52.232,54.498
 2024-09-24 15:59:50,9.417,8.292,8.703,52.919,54.453
 2024-09-24 15:59:57,9.413,8.294,8.74,52.972,54.46
 2024-09-24 16:06:46,9.417,7.351,8.717,51.233,50.531
 2024-09-24 16:08:19,9.413,8.389,8.772,54.796,55.185
 2024-09-24 16:59:46,9.417,8.231,8.589,54.147,54.536
 2024-09-24 16:59:53,9.413,8.227,8.611,54.17,54.521
 2024-09-24 17:05:48,9.426,8.261,8.616,54.109,55.025
 2024-09-24 17:50:57,9.417,8.154,8.643,54.315,50.806
 2024-09-24 17:59:49,9.413,8.173,8.47,54.269,51.241
 2024-09-24 17:59:57,9.426,8.171,8.492,54.3,51.057
 2024-09-24 18:01:06,9.408,8.198,8.511,54.231,52.621
 2024-09-24 18:50:22,9.417,8.099,8.36,54.437,50.294
 2024-09-24 18:59:45,9.413,8.128,9.875,54.384,50.6
 2024-09-24 18:59:53,9.417,8.141,8.419,54.407,50.523
 2024-09-24 19:15:49,9.417,8.034,8.41,50.516,50.157
 2024-09-24 19:57:30,9.413,8.046,8.46,55.124,52.37
 2024-09-24 19:59:48,9.417,8.078,8.337,54.475,51.477
 2024-09-24 19:59:56,9.417,7.967,8.369,54.468,51.263
 2024-09-24 20:23:28,9.413,7.99,8.364,54.887,49.699
 2024-09-24 20:32:59,9.417,7.985,8.383,50.813,53.682
 2024-09-24 20:59:44,9.417,8.013,8.268,51.248,52.187
 2024-09-24 20:59:52,9.413,7.904,8.296,51.073,52.248
 2024-09-24 21:19:56,7.668,7.918,8.277,52.621,51.309
 2024-09-24 21:20:43,9.586,7.933,8.254,50.31,53.209
 2024-09-24 21:59:51,9.367,7.943,10.777,50.6,52.271
 2024-09-24 21:59:57,9.394,7.824,8.611,50.539,52.278
 2024-09-24 22:07:34,9.408,7.864,8.607,50.165,52.324
 2024-09-24 22:50:10,7.668,7.855,9.554,52.362,51.836
 2024-09-24 22:59:49,8.84,7.908,8.36,51.469,52.049
 2024-09-24 22:59:57,8.799,6.96,8.616,51.248,52.08
 2024-09-24 23:02:00,8.863,7.567,8.634,49.707,55.391
 2024-09-24 23:03:02,8.703,7.563,8.47,53.651,51.897
 2024-09-24 23:59:47,8.74,8.515,10.241,52.148,52.995
 2024-09-24 23:59:55,8.712,7.43,8.84,52.202,52.957
 2024-09-25 00:00:03,8.785,7.515,8.849,51.286,52.934
 2024-09-25 00:00:57,8.575,7.519,9.211,53.171,53.117
 2024-09-25 00:59:46,8.611,9.333,8.657,52.24,53.072
 2024-09-25 00:59:53,8.625,7.21,8.804,52.225,53.079
 2024-09-25 01:00:40,8.643,7.634,8.763,52.286,52.98
 2024-09-25 01:59:37,8.474,7.632,8.685,51.797,52.995
 2024-09-25 01:59:52,8.502,8.278,9.129,52.019,53.003
 2024-09-25 02:00:23,8.511,7.269,9.005,52.042,53.056
 2024-09-25 02:01:25,8.351,7.851,9.028,55.315,52.995
 2024-09-25 02:59:50,9.751,7.738,8.666,51.836,53.033
 2024-09-25 02:59:58,8.415,7.351,9.348,52.927,53.026
 2024-09-25 03:05:46,8.41,8.356,9.06,52.896,55.544
 2024-09-25 03:07:03,8.46,8.007,8.959,52.866,51.851
 2024-09-25 03:59:48,8.341,7.849,9.467,53.056,53.247
 2024-09-25 04:00:04,8.364,7.5,8.74,53.011,53.224
 2024-09-25 04:00:19,8.36,8.536,9.055,52.995,53.217
 2024-09-25 04:59:00,8.383,7.992,8.744,52.911,53.453
 2024-09-25 04:59:39,8.273,7.906,7.847,53.011,53.423
 2024-09-25 04:59:54,8.3,8.41,9.724,52.934,53.392
 2024-09-25 05:54:52,8.264,7.693,9.39,52.942,53.621
 2024-09-25 05:59:46,8.25,8.16,9.358,52.995,53.598
 2024-09-25 05:59:53,11.601,8.183,9.248,52.934,53.606
 2024-09-25 06:22:09,8.611,8.103,9.504,52.972,51.836
